Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,13.9,14.6,15.3,18.9,20.5,20.6,19.6,19.8,19.6,18.1,17.1,13.6,17.6
Baja California,15.9,17.5,19.3,18.9,19.9,25.2,25.9,28.2,27.3,24.0,16.6,12.6,20.9
Baja California Sur,18.4,20.0,21.3,22.4,22.9,27.3,28.9,30.5,29.4,26.7,22.4,17.9,24.0
Campeche,23.2,23.7,27.0,29.9,30.0,28.8,29.5,29.4,28.7,27.9,27.4,26.1,27.6
Coahuila,12.0,14.1,15.9,21.2,24.0,25.3,26.8,27.6,25.3,22.9,18.1,14.2,20.6
Colima,25.4,24.1,24.9,26.3,28.1,29.0,28.6,29.1,28.7,28.6,28.1,26.5,27.3
Chiapas,22.0,22.7,24.6,27.3,26.9,26.1,25.9,26.5,25.9,25.6,24.8,23.7,25.2
Chihuahua,9.6,13.0,13.9,17.5,20.1,24.6,24.0,24.3,22.7,18.8,14.2,10.6,17.8
Ciudad de México,14.5,15.4,16.7,19.2,18.5,18.3,18.1,18.5,17.8,17.3,17.2,16.0,17.3
Durango,12.3,13.7,14.4,18.3,20.7,22.2,21.9,22.4,21.4,19.1,16.8,12.4,18.0
Guanajuato,15.4,16.1,17.6,21.8,21.5,21.1,20.2,20.7,20.6,19.8,18.8,16.0,19.1
Guerrero,23.6,24.2,25.4,27.3,27.4,26.4,26.1,26.5,25.6,25.7,25.3,24.4,25.7
Hidalgo,12.9,14.3,16.2,19.3,21.2,20.5,20.5,20.8,18.8,19.4,18.6,15.4,18.1
Jalisco,17.5,17.9,19.3,21.9,23.3,23.5,22.5,22.8,22.5,21.7,20.8,18.1,21.0
Estado de México,11.8,12.6,14.0,16.2,16.3,16.1,15.9,16.2,16.1,15.1,14.6,13.2,14.8
Michoacán,17.9,18.4,19.2,21.8,23.1,22.8,22.1,21.6,21.9,21.4,20.8,17.8,20.7
Morelos,19.5,20.5,22.2,25.2,24.5,22.9,22.6,22.9,21.7,22.0,21.7,20.1,22.1
Nayarit,23.9,23.1,23.0,25.4,27.0,29.4,28.7,29.1,28.6,28.7,26.7,22.6,26.4
Nuevo León,13.1,15.0,17.1,22.7,25.0,26.3,28.0,28.4,26.5,23.8,19.5,16.6,21.8
Oaxaca,19.7,20.8,22.5,25.8,25.9,25.0,25.2,25.6,25.0,24.3,23.7,21.7,23.8
Puebla,14.7,15.6,17.2,19.9,19.8,19.5,19.5,20.4,19.4,18.9,18.2,16.7,18.3
Querétaro,15.6,16.9,18.3,21.9,22.5,21.8,21.4,21.9,21.7,20.3,19.5,16.6,19.9
Quintana Roo,24.5,24.4,27.4,29.0,29.3,28.8,29.9,30.1,29.9,28.6,27.9,27.5,28.1
San Luis Potosí,14.6,16.3,19.2,24.0,24.2,24.3,24.1,25.1,25.2,23.9,21.9,19.6,21.9
Sinaloa,20.6,22.1,22.6,24.7,26.3,30.7,30.1,29.7,29.5,27.9,24.4,20.1,25.7
Sonora,16.0,18.8,20.0,21.7,23.1,29.9,29.8,30.4,28.9,24.9,17.7,14.5,23.0
Tabasco,22.9,23.4,25.9,29.7,29.3,28.3,28.9,29.3,28.6,27.7,27.2,26.5,27.3
Tamaulipas,14.8,17.4,20.0,25.6,27.2,28.3,29.1,29.4,27.8,25.6,22.3,19.5,23.9
Tlaxcala,11.7,13.2,14.6,16.7,16.8,16.3,16.3,16.6,16.2,15.5,15.4,13.3,15.2
Veracruz,17.0,18.3,20.2,25.4,25.7,24.6,24.9,25.4,25.2,23.7,22.2,21.7,22.9
Yucatán,23.4,23.4,26.8,29.3,29.4,28.3,28.8,28.7,28.5,27.1,26.5,25.7,27.2
Zacatecas,13.2,13.9,14.7,19.0,21.0,20.7,19.7,20.2,19.7,18.3,17.1,13.0,17.5
Nacional,16.1,17.7,19.2,22.4,23.7,25.5,25.6,26.1,25.1,23.1,20.1,17.3,21.8
