Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,13.5,14.4,16.9,19.8,22.5,21.7,21.0,20.3,18.3,17.2,15.9,13.8,17.9
Baja California,14.3,14.6,16.5,19.2,21.3,25.4,27.1,28.0,26.8,22.8,15.2,13.3,20.4
Baja California Sur,19.2,18.3,20.0,21.8,23.7,26.7,29.0,29.2,28.0,25.2,21.0,19.1,23.4
Campeche,23.9,25.0,26.9,29.3,30.0,28.5,28.7,28.8,27.9,27.1,26.7,25.1,27.3
Coahuila,13.0,14.0,19.2,24.7,28.2,29.5,30.1,28.5,25.0,21.2,17.0,14.9,22.1
Colima,25.4,25.6,24.2,25.5,26.6,28.0,28.5,28.2,27.7,27.6,27.0,25.8,26.7
Chiapas,22.4,22.9,24.7,26.5,26.6,24.8,25.3,25.3,24.8,24.3,23.9,22.2,24.5
Chihuahua,10.9,11.1,15.0,20.7,24.4,26.6,26.0,24.2,22.3,18.1,13.2,12.0,18.7
Ciudad de México,15.4,16.2,18.5,20.3,21.7,19.3,19.7,19.1,18.2,18.2,17.4,15.2,18.3
Durango,12.3,12.7,16.3,20.6,23.2,24.0,23.8,22.3,20.1,17.7,14.7,13.9,18.5
Guanajuato,15.7,16.5,18.7,21.5,23.4,21.9,21.3,20.8,19.4,18.8,17.9,15.5,19.3
Guerrero,24.4,25.4,25.6,27.2,27.8,26.3,26.4,26.1,25.5,25.7,25.5,23.9,25.8
Hidalgo,15.2,15.7,18.6,21.4,22.6,20.6,21.1,21.3,19.8,18.9,18.1,15.3,19.0
Jalisco,18.2,19.1,20.5,22.8,24.7,24.2,23.5,23.1,22.9,21.9,20.3,18.0,21.6
Estado de México,12.3,13.1,15.1,16.7,17.9,16.4,16.6,16.1,15.9,15.4,14.7,13.1,15.3
Michoacán,17.6,18.5,19.9,22.5,23.9,22.5,21.7,21.4,21.1,20.7,20.4,17.5,20.6
Morelos,19.7,20.9,23.0,25.0,26.3,23.8,23.5,22.8,22.1,22.4,22.0,19.5,22.6
Nayarit,21.6,22.2,22.3,24.9,27.1,28.4,28.3,27.8,28.1,27.0,24.1,21.8,25.3
Nuevo León,13.6,14.4,19.1,24.9,28.1,28.4,29.1,28.7,25.1,21.6,18.4,16.0,22.3
Oaxaca,20.8,21.6,23.6,25.0,26.1,24.3,24.8,24.4,23.6,23.3,23.0,20.4,23.4
Puebla,15.7,16.0,18.3,20.7,21.9,20.2,20.2,19.9,19.0,18.6,18.0,15.6,18.7
Querétaro,16.4,16.9,19.9,22.5,24.5,22.5,22.5,22.3,20.1,19.7,18.9,15.7,20.2
Quintana Roo,24.0,25.3,26.7,27.9,29.0,28.3,29.0,28.7,28.4,27.5,26.9,25.2,27.2
San Luis Potosí,17.5,18.1,21.6,26.5,28.7,27.1,27.1,27.1,24.2,22.2,20.7,18.3,23.3
Sinaloa,20.7,20.0,21.3,24.7,27.1,30.2,30.3,29.1,29.2,27.4,22.5,20.6,25.3
Sonora,15.5,14.7,17.5,21.9,24.9,30.0,30.9,29.4,28.8,23.9,16.6,15.2,22.4
Tabasco,24.0,24.7,26.5,29.1,30.5,28.5,29.3,29.2,27.8,27.5,27.0,25.7,27.5
Tamaulipas,16.7,16.6,21.4,27.2,29.9,29.8,30.7,30.6,27.6,24.5,21.6,19.3,24.7
Tlaxcala,12.3,13.1,15.3,17.0,17.8,17.0,16.9,16.6,16.1,16.1,15.4,12.4,15.5
Veracruz,18.7,18.6,21.3,25.0,26.8,24.7,25.0,25.3,23.9,22.8,21.8,19.8,22.8
Yucatán,22.9,24.3,26.0,28.4,29.2,28.4,28.6,28.4,27.9,26.6,26.3,24.8,26.8
Zacatecas,13.7,14.4,16.9,20.4,22.7,22.1,21.7,20.9,19.2,17.7,16.3,14.1,18.3
Nacional,16.6,17.0,19.8,23.4,25.7,26.4,26.6,25.9,24.5,22.1,19.1,17.3,22.0
