Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,5.6,5.9,7.4,10.8,11.8,14.0,12.9,12.5,12.6,10.6,8.9,5.0,9.8
Baja California,9.6,10.0,11.9,11.7,14.2,18.5,20.1,21.8,21.2,17.9,9.9,5.6,14.4
Baja California Sur,11.8,12.4,13.8,15.6,16.0,20.8,23.4,25.1,24.2,21.3,16.3,11.1,17.7
Campeche,17.4,17.1,20.6,22.8,23.1,23.3,22.9,23.1,22.9,23.0,22.7,21.0,21.7
Coahuila,5.3,6.3,9.3,14.1,17.2,19.0,19.7,20.0,18.0,16.1,11.3,5.6,13.5
Colima,18.3,17.6,18.1,19.6,21.7,23.9,23.0,23.5,23.3,23.3,22.8,20.3,21.3
Chiapas,16.1,16.0,18.4,20.9,20.9,20.9,20.4,20.8,21.1,20.7,19.8,17.9,19.5
Chihuahua,2.0,4.2,6.2,9.1,10.8,16.6,16.9,16.6,15.0,11.0,5.2,1.1,9.6
Ciudad de México,7.3,7.7,9.9,12.0,11.7,12.3,11.7,12.0,12.1,11.0,10.7,8.9,10.6
Durango,4.4,4.8,6.3,9.5,11.7,14.9,14.8,14.6,13.7,10.9,7.4,2.5,9.6
Guanajuato,6.8,7.2,9.2,13.2,13.2,14.2,13.5,13.2,13.8,12.6,10.7,7.7,11.3
Guerrero,16.2,16.9,18.3,20.0,20.6,20.2,19.8,19.9,19.8,19.4,18.9,17.3,18.9
Hidalgo,4.8,5.7,9.0,11.4,13.7,13.9,13.7,13.6,12.7,12.6,12.3,7.6,10.9
Jalisco,8.9,9.3,10.8,13.6,14.9,17.0,16.2,16.0,16.1,14.7,13.4,10.2,13.4
Estado de México,3.3,3.9,6.1,7.7,8.9,9.9,9.3,9.3,10.1,8.2,7.1,5.3,7.4
Michoacán,10.0,10.2,11.7,13.9,15.6,16.3,15.7,14.8,15.5,14.3,12.9,10.6,13.4
Morelos,11.1,11.6,14.0,16.9,17.2,16.8,16.0,16.0,16.2,15.4,14.8,12.4,14.9
Nayarit,16.8,16.1,15.7,18.2,19.2,23.6,23.0,23.5,23.3,23.2,20.3,16.0,19.9
Nuevo León,6.2,7.7,11.1,16.6,19.2,20.6,20.9,20.9,19.9,17.2,13.3,8.9,15.2
Oaxaca,13.0,13.9,16.0,19.1,19.6,19.4,19.2,19.5,19.5,18.3,18.2,15.0,17.5
Puebla,6.3,6.9,9.7,12.0,12.5,13.1,12.4,13.0,13.2,11.9,11.4,9.0,11.0
Querétaro,8.1,8.9,10.8,14.1,15.2,15.5,15.0,14.7,15.4,13.6,12.6,9.3,12.8
Quintana Roo,19.5,18.7,22.8,24.5,24.7,24.6,25.2,25.2,25.2,23.9,23.8,23.5,23.5
San Luis Potosí,7.2,8.2,12.7,16.9,17.2,17.9,17.4,17.6,18.7,17.7,16.1,13.0,15.1
Sinaloa,13.0,14.5,14.8,16.6,17.8,24.2,24.3,24.0,24.5,21.8,16.3,12.2,18.7
Sonora,7.8,10.4,11.8,12.7,14.2,21.6,23.4,23.8,22.6,17.4,8.8,5.7,15.0
Tabasco,18.8,18.5,21.0,24.1,23.8,23.6,23.7,23.8,23.8,23.4,23.2,22.1,22.5
Tamaulipas,8.8,11.1,14.4,20.3,22.0,23.0,23.4,23.1,22.3,20.1,17.1,13.3,18.2
Tlaxcala,2.8,3.8,6.8,8.2,9.2,9.8,8.9,8.9,9.9,8.1,7.6,4.7,7.4
Veracruz,11.6,12.7,15.0,19.4,20.0,19.4,19.4,19.6,20.0,18.5,17.5,16.3,17.4
Yucatán,17.0,16.2,19.6,21.6,21.9,22.3,22.0,22.0,22.3,21.6,21.2,20.2,20.7
Zacatecas,4.8,5.0,6.9,10.4,11.9,14.1,13.0,12.7,12.5,10.6,8.6,4.1,9.6
Nacional,8.9,9.9,12.0,14.9,16.3,18.9,19.2,19.3,18.8,16.5,13.0,9.6,14.8
